customer_id,contact_type,contact_value,contact_name,contact_relation,is_current,created_at,is_test_data
C00000001,MOBILE,13848995436,\N,\N,1,2025-04-30 21:24:13,1
C00000002,MOBILE,13858803571,\N,\N,1,2025-01-05 21:46:59,1
C00000002,EMAIL,taoguiying@example.com,\N,\N,1,2025-01-05 21:46:59,1
C00000003,MOBILE,13855549521,\N,\N,1,2025-05-03 22:23:24,1
C00000003,EMAIL,fanghan@example.org,\N,\N,1,2025-05-03 22:23:24,1
C00000004,MOBILE,13854882280,\N,\N,1,2025-02-05 20:09:21,1
C00000004,EMAIL,stao@example.org,\N,\N,1,2025-02-05 20:09:21,1
C00000005,MOBILE,13881931378,\N,\N,1,2025-04-06 13:25:31,1
C00000005,EMER,13856143147,杨红霞,配偶,1,2025-04-06 13:25:31,1
C00000006,MOBILE,13884458412,\N,\N,1,2025-01-27 12:43:22,1
C00000006,EMER,13823358044,沈飞,母亲,1,2025-01-27 12:43:22,1
C00000007,MOBILE,13864519618,\N,\N,1,2025-02-28 12:05:20,1
C00000007,EMER,13889778284,赵晶,兄弟姐妹,1,2025-02-28 12:05:20,1
C00000008,MOBILE,13815794744,\N,\N,1,2025-02-26 20:10:58,1
C00000008,EMAIL,ping74@example.com,\N,\N,1,2025-02-26 20:10:58,1
C00000009,MOBILE,13869511920,\N,\N,1,2025-06-25 20:43:38,1
C00000010,MOBILE,13877613588,\N,\N,1,2025-05-26 12:31:54,1
C00000010,EMER,13865949985,兰丽丽,兄弟姐妹,1,2025-05-26 12:31:54,1
C00000011,MOBILE,13892424965,\N,\N,1,2025-04-20 12:52:22,1
C00000011,EMAIL,atan@example.net,\N,\N,1,2025-04-20 12:52:22,1
C00000011,EMER,13805533279,仇秀梅,兄弟姐妹,1,2025-04-20 12:52:22,1
C00000012,MOBILE,13869378446,\N,\N,1,2025-02-05 22:24:27,1
C00000013,MOBILE,13864582665,\N,\N,1,2025-01-21 12:07:14,1
C00000014,MOBILE,13834167647,\N,\N,1,2025-01-24 20:25:49,1
C00000014,EMER,13833106241,余秀英,配偶,1,2025-01-24 20:25:49,1
C00000015,MOBILE,13823361697,\N,\N,1,2025-03-15 21:57:00,1
C00000015,EMER,13802499040,刘秀梅,朋友,1,2025-03-15 21:57:00,1
C00000016,MOBILE,13817203392,\N,\N,1,2025-01-07 13:38:03,1
C00000016,EMER,13896334660,郭莉,父亲,1,2025-01-07 13:38:03,1
C00000017,MOBILE,13896943849,\N,\N,1,2025-05-24 20:25:43,1
C00000017,EMAIL,yangfang@example.net,\N,\N,1,2025-05-24 20:25:43,1
C00000017,EMER,13811291269,吴建国,兄弟姐妹,1,2025-05-24 20:25:43,1
C00000018,MOBILE,13859803693,\N,\N,1,2025-01-28 13:46:09,1
C00000018,EMER,13899956228,尤佳,配偶,1,2025-01-28 13:46:09,1
C00000019,MOBILE,13820908171,\N,\N,1,2025-05-03 12:40:12,1
C00000019,EMER,13888441151,宫冬梅,朋友,1,2025-05-03 12:40:12,1
C00000020,MOBILE,13815109403,\N,\N,1,2025-02-14 23:51:02,1
C00000020,EMER,13817812194,董秀芳,朋友,1,2025-02-14 23:51:02,1
C00000021,MOBILE,13892054710,\N,\N,1,2025-01-17 17:19:52,1
C00000022,MOBILE,13850646311,\N,\N,1,2025-01-16 12:57:31,1
C00000022,EMAIL,xia33@example.com,\N,\N,1,2025-01-16 12:57:31,1
C00000023,MOBILE,13890730601,\N,\N,1,2025-01-01 13:29:54,1
C00000023,EMAIL,zkang@example.org,\N,\N,1,2025-01-01 13:29:54,1
C00000024,MOBILE,13865719152,\N,\N,1,2025-02-28 21:50:14,1
C00000024,EMAIL,yongshen@example.net,\N,\N,1,2025-02-28 21:50:14,1
C00000025,MOBILE,13803427649,\N,\N,1,2025-01-14 12:42:53,1
C00000025,EMER,13877538493,顾雪梅,母亲,1,2025-01-14 12:42:53,1
C00000026,MOBILE,13805896298,\N,\N,1,2025-01-30 08:23:41,1
C00000026,EMER,13829890267,吴洁,母亲,1,2025-01-30 08:23:41,1
